category	text
Negative	Padam onnu eragikotteda pahayanmare appalekum chelakkan kuthirikunu ororthanmaru.. Onnu poyinada..
unknown_state	കാണാതെ പോയ മൂക്കുത്തി വേറെ ആണ് . ഇപ്പൊ ഇട്ടിരിക്കുന്നത് സ്പെയർ മൂക്കുത്തി ആണ് .
Positive	Ee onam lalettanum pellerum ang edukkuvaaa
unknown_state	Anu sithara entha kanikatheaa .Oru pic engilum kanikum eee movieyil  ...
unknown_state	After Mohanlals ആര്യൻ its Nivins മൂത്തോൻ  ബോംബെ  അധോലോകം
unknown_state	Lalletan fans like adikku . Fans power kaaniku
Mixed_feelings	പരുന്തിന്റെയും പുത്തൻ പണത്തിന്റെയും അവസ്ഥ വരരുത് പടച്ചോനെ .
Negative	Padam pottum Ram fans munji.. sudapi teams  kuru pottum
unknown_state	Nice song alle ithine njan paadi kulaakitundu aarkengilum kekanumingil
Negative	Ivide kidannu thulland aa timil roomil onnude poy nokk penne
Positive	NIVIN #FIELDOUT AYI ENN PARANJAVARK ULLA KIDILAN #REPLY  #FIELDOUT AYAD ALLA.  ORIKKALUM AVAND NIKKANULLA #MARUNN VANGAN POYADHA  #VERUM_MASALLA #MARANA_MASS #MOOTHON
Positive	ഫഹദിന്റെ പടം ആയതോണ്ടാവും പിള്ളേർ അടക്കം നാച്ചുറൽ... പൊളിച്ചു
unknown_state	Eth mikkavarum putham panam Enna movie yepoleyakum thonnunnavar like
unknown_state	മൂക്കുത്തി കണ്ടില്ല എന്ന് പറഞ്ഞു ആ ചുവപ്പ് തൊപ്പികരനെ വളച്ചു മൂക്കുത്തി വാങ്ങിക്കാൻ ഉള്ള സൈക്കോ അടവ്
unknown_state	saikko shammy fans evide likam
Positive	മലയാളം സിനിമ ഇതേത് ലെവലിലേക്കാ പോകുന്നത് .   എജ്ജാതി ഐറ്റംസ്   Hats off geethu
Negative	Guys unlike cheyyunavar Mr.Pandit fans aanue..deshyam pidichit karyamilla..
Positive	ഫഹദിന്റെ ഭാര്യായിറ്റ് അഭിനയിച്ച ചേച്ചി  ഔട്‍സ്റ്റാന്ഡിങ് ആക്ടിങ്
unknown_state	ഏട്ടന്റെ പിള്ളേർ like ബട്ടൺ അടിച്ചു പൊളിക്ക്
Positive	Mammookkayude sound oru rekshayum illa pwolii
Mixed_feelings	പാട്ട് വളരെ മോശം. സിനിമയും അങ്ങനെ ആകാതെ ഇരുന്നാൽ മതി ആയിരുന്നു
Positive	രഞ്ജിത്തേട്ടൻ പൊന്നാനിയുടെ സ്വകാര്യ അഹങ്കാരം  ഞങ്ങളുടെ മുത്ത് രെഞ്ജിത്തേട്ടൻ
Positive	hooo koritharipp romaanjam ulpullakam entammo adaar trailer
Positive	Jayettante punyalanu sesham trissur slangilulla hitakum ethu
not-malayalam	Like from Madurai (Tamil nadu) ....
unknown_state	SHAMMY HERO AHH DA HERO
unknown_state	next  cheriyoon  kulki enduvade id
unknown_state	പുതിയ കമൻറുകൾ വന്നിട്ടുണ്ടോ എന്ന് ഇടക്കിടക്ക് വന്നു ചെക്ക് ചെയ്യുന്നത് ഞാൻ മാത്രമാണോ
Positive	1:49 തൊട്ടുള്ള ബിജിഎം പൊളിച്ചു...waiting for Driving License. #prithvirajsukumaran#surajvenjaramoodu#laljr
Positive	Padam polikum
unknown_state	അപ്പോൾ എന്റെ ചോദ്യം ഇതാണ്  ഇതിൽ ആരാണ് നായകൻ, ആരാണ് വില്ലൻ?
unknown_state	Like kuddunnu onnd pakshe views kuddethe enthaa
unknown_state	ഉയിരിൽ തൊടും തളിർ\r വിരലാവണേ നീ.\r അരികേ നടക്കണേ. അലയും\r ചുടുകാറ്റിനു കൂട്ടിണയായ്\r നാമൊരു നാൾ കിനാക്കുടിലിൽ\r ചെന്നണയുമിരുനിലാവലയായ്.\r ആരും. കാണാ… ഹൃദയതാരമതിൽ\r ഉരുകി നാമന്നാരും. കേൾക്കാ… പ്രണയാജാലകഥ\r പലവുരു പറയുമോ…\r ഉയിരിൽ തൊടും കുളിർ\r വിരലായിടാം ഞാൻ.\r അരികേ നടന്നിടാം. അലയും\r ചുടുകാറ്റിനു കൂട്ടിണയായ്\r നാമൊരു നാൾ കിനാക്കുടിലിൽ\r ചെന്നണയുമിരുനിലാവലയായ്.\r ആരും. കാണാ… ഹൃദയതാരമതിൽ\r ഉരുകി നാമന്നാരും. കേൾക്കാ… പ്രണയാജാലകഥ\r പലവുരു പറയുമോ…\r വഴിയോരങ്ങൾ തോറും\r തണലായീ പടർച്ചില്ല നീ…\r കുടയായ് നിവർന്നൂ നീ\r നോവാറാതെ തോരാതെ പെയ്കേ.\r തുഴയോളങ്ങൾ പോൽ നിൻ\r കടവത്തോന്നു ഞാൻ തൊട്ടു മെല്ലെ\r കാറ്റേ ചില്ലയിതിൽ വീശണേ\r കാറേ ഇലയിതിൽ പെയ്യണേ\r മെല്ലെ തീരമിതിലോളങ്ങളോളങ്ങളായി നീ വരൂ…\r ഉയിരിൽ തലോടിടും\r ഉയിരായിടും നാം.\r നാമൊരു നാൾ കിനാക്കടലിൽ\r ചെന്നണയുമിരുനിലാനദിയായ്.\r ആരും. കാണാ… ഹൃദയതാരമതിൽ\r ഉരുകി നാമന്നാരും. കേൾക്കാ… പ്രണയാജാലകഥ\r പലവുരു തുടരുമോ…   hit LIKE
unknown_state	Ee nanchakottayill arudeyuum kanneeroppaan vannathalla njan..pakshe karayikunnavante okeyuum thala njan adichu polikuum!
Negative	കമെന്റ്സ് കണ്ടിട്ട് പ്രിയദർശൻ മമ്മൂക്ക യെ വച്ച് കുഞ്ഞാലി മരക്കാർ സിനിമ എടുത്താൽ മതിയായിരുന്നു എന്ന് തോന്നുന്നു
unknown_state	തൃശ്ശൂർകാരൊന്നും ഇല്ലെടാ ഇവിടെ  അടിച്ചു പൊട്ടിക്കേടാ ലൈക്‌ ബട്ടൺ
Positive	ചുമ്മാതല്ല Anurag Kashyap മച്ചാൻ കാശ് ഇറക്കിയത്. ഇത് മലയാളത്തിലെ Gangs of Wasseypur ആകും.. Sure..
Positive	ട്രെയ്‌ലർ പൊളിച്ചു.... ഇനി പടം കൂടി പൊളിച്ചാൽ നന്നായി..... ഉള്ളി പൊളിച്ചപോലെയാവാണ്ടിരുന്നാൽ മതിയായിരുന്നു.....
Negative	ഈ വൃത്തികെട്ടവൻ തന്നെയാണോ ബിഗ്‌ബിയിൽ bgm ചെയ്തത് ...അവിശ്വസനീയം ....എന്ത് വെറുപ്പിക്കലാണ് ....വേറെ നല്ല ആൺപിള്ളേർക്കു കൊടുത്തിരുന്നേൽ പടം കസറിയെനേം...@ഗോപി....എന്റെ പൊന്നണ്ണാ ..നമിച്ചു ...
unknown_state	ആ PSYCHO ചിരിക്ക് കൊടുക്ക് ഒരു
unknown_state	ഇതാണോ നിന്റെ പുകയില്ലാത്ത അടുപ്പു, ദേ ഞാൻ അങ്ങോട്ട്‌ നോക്കി നിക്കാം, നീ എന്നെ ഒന്ന് ചേട്ടാ എന്ന് വിളിക്കു, എന്തൊരു പ്രഹസനം ആണെടോ, ഈ പഞ്ചായത്തിൽ ഏറ്റവും മോശം വീടിതാണ്,,,യേശു നമ്മക്കറിയാത്ത ആളൊന്നും അല്ലാലോ,
Negative	Irakikko pakshe Stephen achayan ullidatholam kaalam ivide oru rajanum adhikam vazhan ponilla
unknown_state	Trailer il thanne full story undallo! Padam kidilan aakatte🤓
not-malayalam	Tollywood - Bahubali  Kollywood - 2.O Sandalwood - KGF  Mollywood - Mamangam
unknown_state	കൂട്ടുകാരെ എന്റെ ചാനൽ ഒന്ന് സബ്സ്ക്രൈബ് ചെയ്യോ. ഞാൻ തിരിച്ചും ചെയ്യാം.
Negative	ഇതിലും നല്ലത് മരക്കാരനെ  പൊട്ടനാകിയാൽ  പോരെ
not-malayalam	HISTORY OF POWER HISTORY OF VENGEANCE HISTORY OF PAIN HISTORY OF HOPE HISTORY OF AN ERA HISTORY OF THE BRAVE
Mixed_feelings	Ravi ye kaanumbo SHAMMI ye orma varunnu.
not-malayalam	All the best ikka from #lalettan fans 🤗
Positive	ente ponnu....endb item aaan...he he ....ikkka...romanjjjjjjj
Negative	Filminode undayirunnu ella pradikhayum  poyi.oru historikal film akumpol  song visuals  super ayirikkanam.manasil thangi nilkkanam
unknown_state	എന്റെ കൊച്ചു ചാനൽ സബ്സ്ക്രൈബ് ചെയ്യൂ
Negative	ഇക്കയുടെ സ്ത്രീവേഷം കണ്ടു കമ്പി അയവർക്കും പാല് പോയവർക്കും. ലൈക്കി നിർവൃതി അടയാൻ ...
unknown_state	Unnni mukundante padamenn paranj arenkilum vanno makkale
Mixed_feelings	nyc but best actor poley aayaaal seriyaavilla
not-malayalam	1.7M VIEWS 177K LIKES  TRIPLE STRONGG
Negative	2020-ലെ ആദ്യ ബോംബ് ന്റെ കാര്യത്തിൽ തീരുമാനമായി
Positive	മമ്മൂക്ക ഫാൻസിന്റെ എല്ലാം വിധ വിജയ ആശംസകൾ നേർന്നു
Positive	മാസ്സ് കൊടൂര മാസ്സ് അതാണ് കൊള്ള പലിശ കാരനായ ബോസ് അസുരൻ
Positive	മമ്മൂക്ക ഫാൻ ആയ ഞാൻ പോലും ലൈക്ക് അടിച്ചു
unknown_state	Enta joju etta ningalithe ende bhavichaa
Negative	വീണ്ടും വീണ്ടും ട്രൈലെർ കാണാൻ വരുന്നവർ ഉണ്ടോ 210 ചെറ്റകൾ ഡിസ്‌ലൈക് അടിച്ചല്ലോ ദൈവമേ ഏത് ചെറ്റകൾ ആണ് pannakal
Positive	Ejjathi level sadhanam ishttappettavar like adik🥰
Positive	Maranamass trailer.....orupaad ishtamaayi.....Lalettan Prithvi combo pwolichadakkum....
Positive	Ejjaathi item ufff kaattaa waiting
unknown_state	1:23 PREDATOR movie BGM copycat !!! deepak dev anna
unknown_state	Ettan die heart fans like adi
Positive	മൂന്ന് പേരെയും എനിക്ക് നല്ലിഷ്ട്ടാ, ജോജു, ചെമ്പൻ and nyla 🥰
unknown_state	Big brotherinekallum shylock Kannan agrahamullavarr like chyuuu
Positive	Love യു കാട്ടാളൻ പൊറിഞ്ചു.  🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
Positive	പ്രിയ മോഹൻലാൽ താങ്കളുടെ ആരാധകർ ഞങ്ങളുടെ മാമാങ്കത്ത ഒരുപാട് സഹായിച്ചവർ ആണ്.അത് കൊണ്ട് താങ്കളുടെ എല്ലാ പടത്തിനും ഞങ്ങൾ ഇക്കാ ഫാൻസിൻറെ വിജയാശംസകൾ.ഞങ്ങൾ കാണും കൂടെ.കട്ട support🤗
unknown_state	നമ്മൾ ലാലേട്ടൻ ഫാൻസ്‌ ഈ പടവും മറ്റൊരു ചന്ദ്രോത്സവം വെളിപാടിന്റെ പുസ്തകവും ആകരുത് മാസ്സ് ഇല്ല എന്ന് പറഞ്ഞു negative ഇട്ടിട്ട് ഫാമിലിയെ കൂടെ പടത്തിൽ നിന്നും അകറ്റരുത്യോജിക്കുന്നവർ like അടി അല്ലാത്തവർ അവരുടെ അഭിപ്രായം share ചെയുക
unknown_state	ഏട്ടൻ ഫാൻസ്‌ SUBSCRIBE അടിച്ചോ. ലാലേട്ടൻ PROMOTING ചാനൽ ആണ്
unknown_state	Mammookka fans inu like adikkan ulla comment
unknown_state	Ith Pwolikkum Enn Urappullavar Like
Negative	Ni arda vadha beeshani ondakan..patti ..inala vannu korach cinema edthpo ni ethanda vallya kopila producer ayen thonuna..pooy chathudeda mayre
Mixed_feelings	E padamenghillum hit ayall madhi ayirunnu
Negative	Fuck you rss terrorist  azadi azadi azdi  E modi puyrante cinima muslimgal bahisharikuga
not-malayalam	Villan or hero  Prthvi or suraj ???
Positive	Kidu trailer oru rakshem illa katta waiting
Positive	എന്തോ ഈ ഫിലിം മനസിലോട്ട് അങ്ങ് കേറി പോയി..... എനിക്ക് മാത്രമാണോ???
unknown_state	Dey nthonadey refresh adikumbolathekum likes okke rand erati avunnu
Positive	ഇട്ടിച്ചന്റെ സാമ്പിൾ വെടിക്കെട്ട് നമ്മൾ സാക്ഷാൽ തൃശൂർപൂരം ആക്കും.....
unknown_state	ഇതിൽ മൂക്കുത്തി കണ്ടവർ  LIKE അടി
Positive	പൃഥ്വിരാജ്,  സുരാജ്...  രണ്ടു രാജാക്കന്മാരും ചേർന്ന് ഈ ക്രിസ്തുമസ്,  ന്യൂ ഇയർ സീസൺ അങ്ങ് അടക്കി ഭരിക്കുവാ......  ഡ്രൈവിങ് ലൈസൻസ് ടീമിന് വിജയാശംസകൾ....
Mixed_feelings	Sathyam parayalo.. എവിടെയോ എന്തോ പ്രശ്നം പോലെ... ഒടിയൻ പടത്തിനു ശേഷമാണു ഈ പ്രശ്നം....
Negative	മമ്മാട്ടി വയസ്സനായി... കണ്ടാലറിയാം... ഇനിയും ഇങ്ങനെ ഉള്ള character മമ്മൂട്ടി അഭിനയിഛാൽ പെർഫെക്ഷൻ കിട്ടില്ല എന്നാണ് എന്റെ അഭിപ്രായം...
not-malayalam	The face of indiaaikkkkkkkaaaaaa luv uuuuuu
unknown_state	1 million ഒക്കെ കഴിഞ്ഞു 3 million ആയി
Negative	പിന്നെ അവളുടെ മൂക്കിൽ കിടക്കുന്നതു എന്ത് മൈരാ...
Positive	ട്രെയ്ലറിൽ കാണുന്ന ഒന്നും ഫിലിം ഇല്ലലോ.. എങ്കിലും പടം കിടു
Positive	Prethekichu onnumillankilum... Ithil entho undd kelkkaathirikkaan pattanilla supr song
Negative	മലയാളത്തിൽ മേയിൻ നടനും സഹനടനും ആയി അഭനിക്കുന്ന ആൾ ആണ് അയാൾ അയാൾ അഭിനിച്ചാൽ പടം   അവേറേജ് ഓ അതിൽ താഴെയോ ആയിരിക്കും സിനിമ ആ വക്തി ഈ ലാലേട്ടൻ പടത്തിൽ ഉണ്ട് ഇതിന്റെ അവസ്ഥ എന്തായിരിക്കും എന്തോ 🤫🤐 എല്ലാവരും കമന്റ് രേഖപ്പെടുത്തി പോകുക
unknown_state	BGM is like...  CIA bgm
Positive	തമിഴിലെ രാക്ഷസനെ വെല്ലുന്ന item ആകണേ കർത്താവെ
Positive	Poli ploi nte ponno romanjam
not-malayalam	Sarkar teaser likes VS odiyan trailer views
unknown_state	After jimikki kammal ഇതിനാവും കൂടുതൽ viewers  50M+ ആവും എന്നുള്ളവർക്ക് ലൈക്ക് ചെയ്യാം
unknown_state	ചാക്കോച്ചൻ ഫാൻസ്‌ ലൈക്ക് അടിച്ചു പൊളിക്ക്   Your sleepless nights are coming
not-malayalam	super dq fan kiccha sudeep fan karnataka
unknown_state	Ippo E comments vaayikkumbalu Nalla. Sukhondu
Positive	Ntammo polichu..oru rakshayum illa...from lalettan fan...
Negative	ഈ തടിയനെ വെച്ചേ ആരെങ്കിലും പടം എടുക്കോ 🤣🤣🤣🤣🤣
unknown_state	പാടി നടക്കാതെ പോയി മൂക്കുത്തി അന്വേഷിച്ചു വാടി
Positive	ഇനിയാണ് മമ്മുക്കയുടെ അസ്സൽ മാമാങ്കം കാണാൻ പോകുന്നത്
unknown_state	Tech & entertainment videos കാണാൻ pls subscribe VeeTalks
Positive	എത്ര വട്ടം കണ്ടു എന്ന് ഒരു ഐഡിയയുമില്ല
Positive	മലയാളത്തിൽ ഇനിയും ഇങ്ങനുള്ള ത്രില്ലെർ പടങൾ വരണം
Negative	Endokayo poraima ulathai thoniyath enk matram ano
Positive	Haters 🤭🤭🤭🤭🤭🤭 ethoke onu kand nokaane......trolumbo....noki troluuu
Negative	Nayakan maatkku age koodumpol thorum cmemayude perum marunnu.. Big brother.. Great father.. Valyettan.. Ini kurachu kalam kazhyumpol ivaride cinemakalude peru.. Valyappoppan.. Grand dady... My grandpa..
unknown_state	Status Videos Mathramulla channel aanu
Negative	മൂക്കുത്തി കാണാനില്ലെങ്കിലും കക്ഷം ഇഷ്ടം പോലെ കാണാൻ ഉണ്ട് .  ഇതെന്ത് കക്ഷത്തിന്റെ സംസ്ഥാന സമ്മേളനമോ
unknown_state	Lalttan die hard fans hit like
unknown_state	ലാലേട്ടന് കണ്ണ് കാണില്ല എന്ന് എത്ര പേർ ശ്രദ്ധിച്ചു.... അതോ ഇനി എനിക്ക് മാത്രം തോന്നിയതാണോ? 🤔🤔🤔
Positive	Aaroke parayunnu ee song ishq le song ne kaalum super aanenn
unknown_state	ചാനലിന്റെ പേര് ശ്രദ്ധിച്ചവർക്കു ലൈക്ക് അടിക്കാനുള്ള സ്ഥലം...
Positive	Mammookka Nte Look Vere Level
unknown_state	24 hours kond 4 million cross cheyyum enn urappullavar like adikk
Negative	പ്രതീക്ഷയോടെ കാത്തിരിക്കുന്നവരെ ഇങ്ങനെ മൂഞ്ചിക്കരുത്. എന്ത് ഊള എഡിറ്റിംഗ് ആണ്
Positive	തിയേറ്ററിൽ പോയി കണ്ടില്ലെങ്കിൽ വൻ നഷ്ടമായിരിക്കും..  Waitingg for release..
Negative	Itinum dislike adikkan aalundallo...nallatine angeegarikkan padikk... duranthangal...
unknown_state	മമ്മൂക്കയേക്കാൾ ദാസേട്ടന്റെ ശബ്ദം ശ്രദ്ധിച്ചവരുണ്ടോ ....? Theatre experience  Dasettan  Mammookka
unknown_state	മ്മടെ ശ്രേയ ഘോഷാലിന് കൊണ്ട് പോയി കൊടുത്ത ഒരു പാട്ടെ...   🤭🤪
unknown_state	on KAIRALI TV | ഒരു അവലോകനം
Negative	Trailer kandukondirikkumbum mothhavum ottae chinthayae ullaayirunn ethil ikka illallo ethaetho poorimon undaakkiya udaayippu trailer aanaenn avaasanam ikka kandappozhaa samaadhaanamaayath
unknown_state	Shooting Kottayathayirunnu, njangade pazhe standum, baker junctionum okke traileril kanam
Positive	തമിഴ് ത്രില്ലെർ സിനിമ കണ്ടത് മതി. നമുക്ക് ഇനി ഒരു അടാർ ഐറ്റം വരുന്നുണ്ടെന്ന് പറഞെക്ക്. Katta waitting
Positive	ട്രെയ്‌ലർ കണ്ടിട്ടു ഇതു അനുരാഗ് കശ്യപ് സംവിധാനം ചെയ്തതു പോലുണ്ട്..
Positive	ഓരോ ടൈപ്പ് മനുഷ്യന്മാര് അല്ലെ മോളെ........... Kiduveeeeeeeeeeee
Positive	Ntho ee moviyum ee songum....ellaavareyum orupaad ishttaaaaaaaaannu...Shane  super
Positive	Kgf poleyulla padam kanda feel.. kidilam
Positive	Kidiloski padam‍‍‍ sheriyaya psych padam fahade
Negative	ഇന്നല്ലോ പൂത്തിരുനാൾ മകം പിറന്നൊരു മങ്കക്ക്..................... 🤣🤣🤣🤣🤣കോപ്പി
Positive	0:15 sec..... Ho... Romanchification... Ikka pattu padi thimirkkum...
unknown_state	Sreya ghoshal പാടിയതായോണ്ട്  കണ്ടവരുണ്ടോ...
Positive	Sreelumaram kandu padilli aampillaru cinemayedukkunnathu engane ennu
Positive	Ente ponno Malayalam rakshasan loading
unknown_state	അവളുടെ കവിളത്ത് ഒന്ന് പൊട്ടികട ഉവേ അപ്പോ കാണും അവളുടെ മൂക്കുത്തി
Mixed_feelings	Film  കലക്കും,,,,,, ടെയിലർ എഡിറ്റിംഗ് പോരാ,,,, സ്റ്റണ്ട് മാത്രമേ ഉള്ളൂ ലോ,,.?
unknown_state	Vineeth aano Vivek oberoi dubbing.
unknown_state	എല്ലാ ദിവസവും കാണുന്നവർ ഉണ്ടോ??  എന്താ ഒരു  feel
unknown_state	macha release onnu parayuo epla nu
Positive	Wow ikkaa mass  bgm pwoliii   katta Waitinggg #Abraham
unknown_state	Shavakallarayile Kuzhimaadathile Peril Oru Letter marach pedich lalettan ninnappo Onnu Nadungi
unknown_state	ഇപ്പഴാ മനസിലായത്  ഉണ്ണിയുടെ മൂക്കുത്തിയാ കാണാതെ പോയത്..
Positive	Onnum nokanda apo pado super hita
Positive	Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.
Positive	Egane ulla movie kal kaanan aanu ellavarum waite cheyunath
Positive	എന്റെ പൊന്നോ എത്ര തവണ കണ്ടിട്ടും മതിയാവുന്നില്ലലോ
Negative	Cinema muyuvan manassilayi ini padam kaanano
unknown_state	Ikka bakthanmaar like adi   Ikka istham
unknown_state	Mammukkante introkku വേണ്ടി wait cheidhavar like adiii
unknown_state	ആരോ ഒരാൾ അല്ല ... എന്റ ഏട്ടൻ  my ബിഗ് ബ്രദർ
Positive	Mamookaa look... oru rakshayum ellaa...
unknown_state	പടം 50 കോഴ്സ് നേടും എന്ന് ഉറപ്പ് ഉള്ളവർ ലൈക്
Positive	ദാസേട്ടന്റെ ശബ്ദം. മഹാനടന്റെ മഹാനടനം. ആഹാ അന്തസ്സ്. 🤩  ഈ സോങ് കാണുന്ന എല്ലാ പ്രേക്ഷകരും ഈ ചെറിയ ട്രോൾ ചാനലിനെ കൂടി സപ്പോർട്ട് ചെയ്യണം എന്ന് അപേക്ഷിക്കുന്നു
Positive	`pritvi recent interview story  tread parjirunnu ethndu  main katha  thnnea appol vichrichtha egeruthnnea allea producer ennu ennitum entha ethu ok parnju padathe kollunthu ennu ee  cimail ulla ageruda confidance anu ennu trailr kandapola mansil ayathu
Negative	രാത്രി വാണം വിടാൻ വേണ്ടി ഈ സോങ് കാണുന്നവർ ലൈക്‌ അടിക്ക്
unknown_state	ഇക്കാടെ ഭക്തന്മാരെ എന്റെ ചാനൽ കൂടി ഒന്നു subscribe cheyyamo
Mixed_feelings	kammara sambhavam madhuraraja trailer undakkiyaa aalanalle trailer undakiyathu  cinema idi akathirunnal mathi  vargam poloru padam ayalum mathi
Positive	Bheeekara  padammmmm  shannneeeee  muthanuuuuuuuuuuuuuuuu
not-malayalam	Captain kunjali sparrow
Positive	trailer kollam padam koodi kanatte ennitt parayam bakki masss trailer
not-malayalam	I love Mammookka.  Love from Telangana.
Negative	yenthu chali annu bro ethu
Positive	ഇത് ആള് വേറെയാ പിടക്കുന്ന നോട്ടിന് വേണ്ടി പച്ച ചോര കുടിക്കുന്ന അസുരൻ കട്ട വെയ്റ്റിംഗ്
Positive	Ullaaseetta parupaadi okke gambeeram aakattae keettooo...🤗
Positive	masss effect
Positive	ഞാൻ ഒരു കട്ട ലാലേട്ടൻ ഫാൻ ആണ്.. ന്നാലും മലയാള സിനിമ യിലെ ഇത്രയും effort എടുക്കുന്ന പടങ്ങൾ ഇനി ആരുടെ പേരിൽ ഇറങ്ങിയാലും അവർക് സപ്പോർട്ട് കൊടുക്കും. അവിടെ ഏട്ടനും ഇക്കയും ഒക്കെ സമം ആണ്...കാരണം ലാലേട്ടനും മമ്മൂട്ടിക്ക യുമൊക്കെ മലയാളത്തിന്റെ യശസ്സിനു വേണ്ടി നിൽക്കുന്നവർ ആണ്.. തമ്മിൽ പോരാടിക്കുമെങ്കിലും മനസ്സിൽ തമിഴനോ, തെലുങ്കനോ വേണ്ടി ശബ്ദം ഉയർത്തുകയില്ല..  മലയാള നടന്മാർക്ക് ആണ് സപ്പോർട്ട്.. അവർ കഴിഞ്ഞേ ഉള്ളൂ ഏത് അന്യ ഭാഷാ കാരനും.. പിന്നെ ഇവിടെ ഇത്രയും പറഞ്ഞതു വേറൊന്നും കൊണ്ടല്ല...,  വലിയ പ്രതീക്ഷ യാണ് ഈ പടം..  പാട്ടുകൾ പോലും മറ്റു ഭാഷാക്കാരും രാജ്യക്കാരും വിലയിരുത്തുന്നതുമാണ്... ശ്രദ്ധിക്കണം..  നല്ല വരികൾ .. നല്ല ഇമ്പ മുള്ള ഈണം.. ഇതൊക്കെ ആഗ്രഹിക്കുന്നതിൽ തെറ്റുണ്ടോ...? ഇനി ഇറക്കുന്ന പ്രൊമൊ കൾ മികച്ചതാകട്ടെ
Positive	Kidu song ..........chila lines okke kidilan
Negative	മൂക്കുത്തി കണ്ടില്ലെങ്കിൽ എന്താ, ബാക്കിയൊക്കെ കാണിച്ചു തന്നില്ലേ..
unknown_state	കുറച്ചു വൈകി പോയി ജോബ് ആവിശ്യത്തിന് പുറത്ത് പോയതായിരുന്നു ടീസർ
not-malayalam	lalettan marana mass..intha movie bayangara hit adikkum...love from tamilnadu
Positive	Ee പ്രായത്തിലും ഇജ്ജാതി പെർഫോമൻസ് മമ്മൂക്ക ചലഞ്ചിങ് റോൾ   പിന്നെ  പരിഹസിക്കുന്നവന്മാരുടെ ഇഷ്ട്ട നടന് ചെയ്യാൻ കഴിയാത്തതും ചെയ്താൽ ലോക തോൽവി ആയി പോകുകയും ചെയ്യും എന്ന് അവന്മാർക്ക് തന്നെ അറിയാം.. 🤣🤣
Positive	Njan ippo fan Aanu lalettanem ishttanu Trailer kollam super
Positive	FByil release aakiyittum youtubil trending n.o 1 undel lalettante range oohikam
unknown_state	E Assasincreed  te trailer 2019 lu knnunavr etra perund
not-malayalam	One an only megastar mammookka
unknown_state	ഈ സിനിമയിൽ കുഞ്ഞിക്ക കൂടി ഉണ്ടായിരുന്നെങ്കിൽ എന്ന് ആഗ്രഹിച്ചത് ഞാൻ മാത്രമാണോ ?
Negative	Gopisunder pulimurukan eduthappozulla music padangal onnum marnnittia...engu rajayil eathinilkumbazum..elllam oruikalkudui avatharippikunnondu
unknown_state	68 vayassunden oke paranj ingane pattikkale en parayanam sire....
unknown_state	1:59 എത്ര പേർ ശ്രദ്ധിച്ചു ഫഹദ് ഇക്കേടെ ട്രെൻഡിങ് ആകാൻ പോണ meme
unknown_state	ഉടൻ വരും, art killer മൈ ചാനല്
