text	category
ಶೆಟ್ರೇ ಸಿಗ್ನೇಚರ್ ಸ್ಟೆಪ್ .....ಮ್ಯಾಜಿಕಲ್ ಕಂಪೋಸ್ ಮತ್ತೊಮ್ಮೆ ...ಅಜನೀಶ್ ಲೋಕನಾಥ್............ ಮಾಸ್ ಎಲಿಮೆಂಟಿನಾ ಈ ಹಾಡು ಬಹಳ ತುಂಬಾ ದಿನದ ಮೇಲೇ ಮತ್ತೆ ಮತ್ತೆ ಹಾಕಿ ಕೇಳಿದೆ........... ಹಾಡಿನಲ್ಲಿರುವ ಸಾಹಿತ್ಯದಂತೆ ಅವನೆ ಶ್ರೀಮನ್ನಾರಯಣ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರವಾಗಲಿ	Positive
Super music avane srimannarayana movie super it movie anoru like me	Positive
@Wild Rex कब तक हो सकती है रिलीज़	not-Kannada
Super danger #1	Mixed feelings
ನಿಜವಾಗಿಯೂ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ.. ಹ್ಯಾಟ್ಸ್ ಆಫ್ ನಾರಾಯಣ	Positive
Avane srimannarayana super songs hands up	not-Kannada
All d best from appu fans	Positive
Neev super marree...	unknown state
Kodona bro adukkenu	Mixed feelings
Kshamisi sir nanu tumba miss madkonde	Positive
Tiktok mado gaandu s.. maklu	Negative
Togari. Tippa. Super	Positive
Olle kelsa Alva mem	Positive
Nija guru ..... Aa takattu nam industry Alli yargu Ella....	Positive
@VARAPRASAD K K super bro	not-Kannada
SupernTelugu lo kuda	Positive
Rakshit shetty sir ge jai	Positive
different but unique & epic song	not-Kannada
Even I had Same feelings..!	not-Kannada
First time movie nodoru taleli uoohe screenply ittukondu nodbedi freedomagi nodi movie superagide kanndada hosatana adduriyagi kanutte guru movi superrrrrr	Positive
Super................ Song	not-Kannada
Good job..  Goahead mahn	not-Kannada
En song guruve I love this song K G F bitre ede super movie guru.......super	Positive
Nimage aa devaru olledu madali Appaji...nNimma matugalu keli nange 100% Dairya bantu appaji thank you for your inspiration	Positive
U missed birbal	not-Kannada
Hudgirge estu huchu edso song adre.   Enaa hudugara kathe henge.	Mixed feelings
ಮನೆಯಿಂದಲೇ ಸಂಪಾದಿಸಬೇಕೇ? With income proof. WhatsApp 6362806874	unknown state
Superb new avatar	not-Kannada
Nija nivu mahabaratha nodilva	Mixed feelings
GAVISH SANGATI ćqqqq1	not-Kannada
Na gentleman tiktok banu  super guru	Positive
jai sri ram	unknown state
Hi Chi ugh	unknown state
nivu helidu sari nanu follow madthini🤗	Positive
Sir.. 5paisa.com adara bagge video madi... Open madodhu hege and close madodhu hege antha... Plz sir	Positive
Entha song na dislike madtiralla loafer nan makkala thu nim janumakke	Negative
Pubg kooda ban agbeku guru..	unknown state
@Manju Sonu  ಅಭಿನಂದನೆ	unknown state
That making was osm #ASN 🤩🤩🤩	Positive
ಈ ಹಾಡು ರಶ್ಮಿಕ ಮಂಗಣ್ಣನವರಿಗೆ ಅರ್ಪಣೆ 🤗	Negative
Super guru awesome video	Positive
@Nandi Parthasarathi ಓಹೋ ನಂದಿನಿ ನಿಂದು ಮಿಲ್ಕ್ ಪಾರ್ಲರ್ ಬೇರೆ ಇದಿಯಾ	Negative
@prithvi nayak Roberrt bangada goth aagutte	Negative
One like for hands up	not-Kannada
ನೀವು ಹಳ್ಳಿಯ ‌ಭಾಷೆಯ ಶೈಲಿಯಲ್ಲಿ ರೊಷ್ಟ್ ಮಾಡುವುದೇ.. ನಮಗೆ ಅತ್ಯುತ್ತಮ ಮನರಂಜನೆ	Positive
ಏಳನೇ ದಿನ ಕೇಳ್ತಾ ಇದ್ದೇನೆ	Positive
ಅಶ್ವಥ್ಥಾಮ ಚಿರಂಜೀವಿ ಆಗಿದ್ದು ಹೇಗೆ	Mixed feelings
ತೊಗರಿ ಅಭಿವೃದ್ಧಿ ನಿಗಮದ ವ್ಯವಸ್ಥಾಪಕ ನಿರ್ದೇಶಕರಿಗೆ	Positive
Houdu ashvatama 5000 varsha dinda  idre Krista Shaka 2000 Anta yak aktaidare Hindu galu munche inda idane navu idannu pratipadisabeku I	Positive
wow...  great work..	not-Kannada
Are bhai Yek dum phel diya	not-Kannada
Step Super bossu	Positive
ನಿಮ್ಮ ಕನ್ನಡ ಬಳಕೆ ತುಂಬಾ ಸೊಗಸಾಗಿದೆ.. ಈ ಸಿನಿಮಾ ಕುರಿತು  ನೀವು ಹೇಳಿದ ಮಾತುಗಳೆಲ್ಲವು ಅಕ್ಷರಶಃ ನಿಜ. ನಿರ್ದೇಶಕರ ಸೃಜನಶೀಲತೆ ಹಾಗೂ ಕಲಾತ್ಮಕತೆ ಎರಡೂ ತರ್ಕಕ್ಕೆ ನಿಲುಕದ್ದು	Negative
Idu beku ivatthu full happy agidivi bro  osm	Positive
ನಿಜವಾಗ್ಲೂ ತುಂಬಾ ಒಳ್ಳೆ ಫಿಲ್ಮ್  ತುಂಬಾ ಇಷ್ಟ ಆಯಿತು	Positive
Soori anba song nodi bandavru  like maadi	unknown state
Sir super great	not-Kannada
ಪ್ರಯತ್ನಕ್ಕೆ ದೊಡ್ಡ ಸಲಾಂ	Positive
Super song in kannada	Positive
@Raja Vishnuvardhana Tamil of ciurse	unknown state
