category	text
not-Kannada	Avane srimannarayana super songs hands up
Positive	All d best from appu fans
unknown state	Neev super marree...
Mixed feelings	Kodona bro adukkenu
Positive	Kshamisi sir nanu tumba miss madkonde
Negative	Tiktok mado gaandu s.. maklu
Positive	Togari. Tippa. Super
Positive	Olle kelsa Alva mem
Positive	Nija guru ..... Aa takattu nam industry Alli yargu Ella....
not-Kannada	@VARAPRASAD K K super bro
Positive	SupernTelugu lo kuda
Positive	Rakshit shetty sir ge jai
not-Kannada	different but unique & epic song
not-Kannada	Even I had Same feelings..!
Positive	First time movie nodoru taleli uoohe screenply ittukondu nodbedi freedomagi nodi movie superagide kanndada hosatana adduriyagi kanutte guru movi superrrrrr
not-Kannada	Super................ Song
not-Kannada	Good job..  Goahead mahn
Positive	En song guruve I love this song K G F bitre ede super movie guru.......super
Positive	Nimage aa devaru olledu madali Appaji...nNimma matugalu keli nange 100% Dairya bantu appaji thank you for your inspiration
not-Kannada	U missed birbal
Mixed feelings	Hudgirge estu huchu edso song adre.   Enaa hudugara kathe henge.
unknown state	ಮನೆಯಿಂದಲೇ ಸಂಪಾದಿಸಬೇಕೇ? With income proof. WhatsApp 6362806874
not-Kannada	Superb new avatar
Mixed feelings	Nija nivu mahabaratha nodilva
not-Kannada	GAVISH SANGATI ćqqqq1
Positive	Na gentleman tiktok banu  super guru
unknown state	jai sri ram
unknown state	Hi Chi ugh
Positive	nivu helidu sari nanu follow madthini🤗
Positive	Sir.. 5paisa.com adara bagge video madi... Open madodhu hege and close madodhu hege antha... Plz sir
Negative	Entha song na dislike madtiralla loafer nan makkala thu nim janumakke
unknown state	Pubg kooda ban agbeku guru..
unknown state	@Manju Sonu  ಅಭಿನಂದನೆ
Positive	That making was osm #ASN 🤩🤩🤩
Negative	ಈ ಹಾಡು ರಶ್ಮಿಕ ಮಂಗಣ್ಣನವರಿಗೆ ಅರ್ಪಣೆ 🤗
Positive	Super guru awesome video
Negative	@Nandi Parthasarathi ಓಹೋ ನಂದಿನಿ ನಿಂದು ಮಿಲ್ಕ್ ಪಾರ್ಲರ್ ಬೇರೆ ಇದಿಯಾ
Negative	@prithvi nayak Roberrt bangada goth aagutte
not-Kannada	One like for hands up
Positive	ನೀವು ಹಳ್ಳಿಯ ‌ಭಾಷೆಯ ಶೈಲಿಯಲ್ಲಿ ರೊಷ್ಟ್ ಮಾಡುವುದೇ.. ನಮಗೆ ಅತ್ಯುತ್ತಮ ಮನರಂಜನೆ
Positive	ಏಳನೇ ದಿನ ಕೇಳ್ತಾ ಇದ್ದೇನೆ
Mixed feelings	ಅಶ್ವಥ್ಥಾಮ ಚಿರಂಜೀವಿ ಆಗಿದ್ದು ಹೇಗೆ
Positive	ತೊಗರಿ ಅಭಿವೃದ್ಧಿ ನಿಗಮದ ವ್ಯವಸ್ಥಾಪಕ ನಿರ್ದೇಶಕರಿಗೆ
Positive	Houdu ashvatama 5000 varsha dinda  idre Krista Shaka 2000 Anta yak aktaidare Hindu galu munche inda idane navu idannu pratipadisabeku I
not-Kannada	wow...  great work..
not-Kannada	Are bhai Yek dum phel diya
Positive	Step Super bossu
Negative	ನಿಮ್ಮ ಕನ್ನಡ ಬಳಕೆ ತುಂಬಾ ಸೊಗಸಾಗಿದೆ.. ಈ ಸಿನಿಮಾ ಕುರಿತು  ನೀವು ಹೇಳಿದ ಮಾತುಗಳೆಲ್ಲವು ಅಕ್ಷರಶಃ ನಿಜ. ನಿರ್ದೇಶಕರ ಸೃಜನಶೀಲತೆ ಹಾಗೂ ಕಲಾತ್ಮಕತೆ ಎರಡೂ ತರ್ಕಕ್ಕೆ ನಿಲುಕದ್ದು
Positive	Idu beku ivatthu full happy agidivi bro  osm
Positive	ನಿಜವಾಗ್ಲೂ ತುಂಬಾ ಒಳ್ಳೆ ಫಿಲ್ಮ್  ತುಂಬಾ ಇಷ್ಟ ಆಯಿತು
unknown state	Soori anba song nodi bandavru  like maadi
not-Kannada	Sir super great
Positive	ಪ್ರಯತ್ನಕ್ಕೆ ದೊಡ್ಡ ಸಲಾಂ
Positive	Super song in kannada
unknown state	@Raja Vishnuvardhana Tamil of ciurse
unknown state	Hands up like madi
Positive	Idu chaitre srustiso avatara
Negative	@ಕಿಚ್ಚನ ಹಾವಳಿ astu cheepalla bido nimtara 60cr above madide pailwan kurukshetra 100cr collection madide
Negative	Okie okie anta helboduu powerful music irbekittu
Positive	Super Duper song
Positive	Movie chenagide hogi nodi
unknown state	Hindi me lao
Negative	Supper  p boss... Yar unlike madidhare nodi.. urkondu saytor anta
Positive	Tik tok ban agirodike Nange Tumba Tumba Kushi ide happy 🥰
Negative	Dabba movie Soo sad
Positive	Karabu Song Keli....bejar agii .....e song kelthaa edhini....🤗🤗🤩🤩🤩
unknown state	Who like rakshit Shety hit like
not-Kannada	Remake  ka baap prajwal is back with remake
Positive	Hindi illa Andre 300 crore agodu dream ashte
Negative	Navu matar use madatilla jagatinna yella deshgalu use madatidare.solemagane
Positive	ಅಚ್ಚ ಕನ್ನಡ ಸಾಂಗ್ ಸೂಪರ್
Positive	Pritvi Amber super
Negative	@Prithvi Vishwanath guruve nav #DBoss fans kannada songs nodoku modle like madovru sumne thika yella matadbedi.
unknown state	@Shrthi Shrthi huiuu
unknown state	Swalpa aerial tara ide.
Mixed feelings	ಅಧ್ಬುತ .... BGM super..
Positive	@shiva prakash avru legends. Kannada film industry Annu ee varege thegondu bandirodu avre. Avrinda ivthina actors ge easy agirodu. nIdara madyadalli kannada film industry track kalkondithu
not-Kannada	Hindi me kb realise hogi?
Positive	Tugari tippa super...
Positive	ಈ ಎಲ್ಲ ಅಂಶಗಳನ್ನು ಗಮನಿಸಿದರೆ ನಮ್ ದೇಶದಲ್ಲಿಯೂ ಸಾರ್ವಭೌಮತ್ವ ಇರಬೇಕಿತ್ತು ಅನ್ಸುತ್ತೆ.
Positive	Super song 100 days pakka
not-Kannada	Boycott tik tok
Positive	Devaru annonu idaane Andre avru shaapa kottidddu nijaane aagidre avru idde iruttaare elllooo ondu jaagadallli manushyara kannige kaanollla aste jaiii Sri Krishna
Positive	ಇದು ಒಳ್ಳೆಯ ಹಾಡು...ಒಳ್ಳೆಯ ಹಾಡುಗಳು ಕೇಳ್ತಾ ಕೇಳ್ತಾ ಇಷ್ಟ ಆಗುತ್ತವೆ...
unknown state	@Nikistark x
Positive	ಇದು ಖಂಡಿತ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ!
not-Kannada	Fan from Tollywood
unknown state	Kaiwarada thathayya(yogi narayanappa)
Mixed feelings	Jai prajvalnJai d boss
Mixed feelings	@s s kirik party movie ali heroine name
Mixed feelings	Ee Tara hosa prayatna namge
Negative	@Vishal Shetty lo beedhi soole magane....nin prakarane belsbeku annodidre nim kade maado yakshagaana
Positive	Bro nim videos delete agalla bedi  bro don't worry do videos bro
not-Kannada	Lv u rrr shetty super
Negative	@Nandi Parthasarathi ನೀನೇನು ಬರೋದು ತುಲ್ಲೇ ನಾನೆ ಬರ್ತೀನಿ ಬೋಳಿಮಗನೇ crct ಅಡ್ರೆಸ್ ಹೇಳೋ ಬೇಕೂಪ
Positive	Desha modlu pls ban agbeku tik tok
Mixed feelings	Bidu guru vorkolru edri moduke hogudu nLike China nodi navu bega fast hagbekantilva hage
Positive	Nim ge esta agiddare like.Comments.madi
Negative	ಮೂಢ ನಂಬಿಕೆ ಇರುವವರೆಗೂ ನಮ್ಮ ದೇಶ ಉದ್ದಾರ ಹಾಗಲ್ಲ
Positive	Super bro nan nimna support maadthini
not-Kannada	@Creative Kannadiga ok bro
Positive	ತುಂಬಾ ವರ್ಷದ ಹಿಂದೆ ಕೇಳಿದ್ದೆ.ಈಗ ಸಿಕ್ಕಿದ್ದು ಸಕತ್ ಖುಷಿ ಆಗಿದೆ
Positive	super guru yellidde guru
Positive	Super  video
Positive	ಟ್ರೈಲರ್ ತುಂಬ ಚೆನ್ನಾಗಿದೆ ನಿಮ್ಮ ಚಿತ್ರ ಒಳ್ಳೆ ಯಶಸ್ವಿ ಆಗ್ಲಿ
Positive	ಮೂವಿ ನೋಡಲು ವೇಟಿಂಗ್ ನಲ್ಲಿ ಇದ್ದೀನಿ
Mixed feelings	Ean dailag guru
not-Kannada	Next leval movie in prajval
Positive	Bhal Varshada nantra keli tumba khushiyatu..
Mixed feelings	ಒಂದೊಂದು ಮಾತು ಚಪ್ಪಲಿ  ಹೊಡೆದಂತೆ ಇತ್ತು ಗುರು ಒಬ್ಬೊಬ್ರು ನೋಡಬೇಕಿತ್ತು ಸರ್ ಚೀನಾಗೆ ಹುಟ್ಟಿರುವ ತರಹ ಆಡುತ್ತಾರೆ ನಮ್ಮ ದೇಶದಲ್ಲಿ ಎಷ್ಟು ಜನ ಸೈನಿಕರು  ಸಾಯ್ತಾರೆ ಅವರಿಗೆ ಏನಾಗಬೇಕು ಟಿಕ್ ಟಾಕ್ ಲೈಕ್ ಬಂದ್ರೆ ಸಾಕು ನನ್ನ ಕಮೆಂಟ್ ಅಲ್ಲಿ ಏನಾದರೂ ತಪ್ಪಿದ್ದರೆ ಕ್ಷಮಿಸಿ ಜೈ ಹಿಂದ್ ಜೈ ಕರ್ನಾಟಕ ಮಾತೆ
Positive	ಉತ್ತರ ಕನ್ನಡದ ಹೆಮ್ಮೆ ಯ ನಟ್ and ನಮ್ಮ ಮೆಚ್ಚಿನ
Positive	ಸುದೀಪ್ ಸರ್ ಅಂಡ್ ದರ್ಶನ್ ಸರ್ ಅವರಿಗೆ ಇರೋ ಫ್ಯಾನ್ಸ್ ಫಾಲೋಯಿಂಗ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಇಲ್ಲ ಅಂದ್ರು ಸಾಂಗ್ 2m  ಮತ್ತು ಟೀಸರ್ 8.5.m ಬೆಂಕಿ ಗುರು ಮೂವಿ  ವೇಟಿಂಗ್
Positive	ನಮ್ಮ ದೇಶದ ನಂತರ ಅವರಿಗೆ ಸ್ವತಂತ್ರ ಸಿಕ್ಕಿರುವುದು ಅವರೇಕೆ ಅಷ್ಟು ಮುಂದುವರೆದರು nnನಮ್ಮ ದೇಶ ಕಾಂಗ್ರೆಸ್ ಹಂದಿಗಳು ಯಾಕೆ ಉದ್ಧಾರ ಮಾಡಲಿಲ್ಲ
Negative	Idu Fantasy Film tara kantide alva?
not-Kannada	Wow wow wow wow wow..Lovely guru
Negative	ದಯವಿಟ್ಟು ಬಿಡುಗಡೆ ದಿನಾಂಕವನ್ನು ಹೇಳಿ
Negative	@Nandi Parthasarathi ಯಾಕೆ ಹುಡುಕೊಂಡು ಬಂದ್ರೆ ತುಲ್ಲು ಕೊಡ್ತೀಯಾ ಬೇವರ್ಸಿ
not-Kannada	Suprb song rakhit shety karnataka boss
unknown state	E song first time yarig tilidila avr like madi
Positive	Nange e dia movie est ista agide Andre adu kevala word inda helok agalla
Positive	@Prasad Raj tulunad and kannada bashe meli abhimana super guru
Positive	@TROLL MONSTER_KANNADA le sakat dialouges kanla..... next nim boobs film ge neene ide dialouges na haakolli.... hengidru ade thaane yelru maathadodu.... film nodkondu yella fans galu obrann obru baikond iri....🤣
Positive	chenagide anta Pade pade nodoru swalpa husharu Data khali aguthe
Positive	ನಮ್ಮ್ ಪ್ರಜ್ವಲ್ ಬೋಸ್ ಗೇ ಒಂದ್ ಒಳ್ಳೇ ಯಶಸ್ಸು ಅನ್ನ ಕೊಡ್ಲಿ ಈ chitra
Mixed feelings	@sachin Mankar hu bro
Positive	Diya sandalwood new queen.
Positive	#Shanvi_Srivatsava  #Rakshit_Shetty best pari forever   #Rashmika_Mandanna
Positive	Super video
Positive	Ibrunu kannadadavre ibru belibeku. support maadi compare maadbedi
Negative	ಕ್ಷಮಿಸಿ.... ಒಳ್ಳೆಯತನಕ್ಕೆ ಇಲ್ಲಿ ಬೇಲೆ ಇಲ್ಲ...
not-Kannada	I do like Guru Deshpande Movies. Im gonna rush
Mixed feelings	Nani kannd full movie
unknown state	@SIDDARAJU D vhhhk
not-Kannada	Super Jai D Boss
Positive	Nama Kannada channel Dinesh ss qthjjko
Positive	NIV helthiro Hela Mathu 100% sathya Anna
Positive	Haaa nivu super bro i am big fan your voice  ....
not-Kannada	Super video broo
Positive	ಟ್ರೈಲರ್ ತುಣುಕೇನೋ ಸಕ್ಕತ್ತಾಗಿದೆ       ಒಳ್ಳೇದಾಗ್ಲಿ ಚಿತ್ರ ತಂಡಕ್ಕೆ
Positive	ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ನಮ್ಮ ಕನ್ನಡ  ಇಂಡಸ್ಟ್ರಿ ನ ಬೆಳವಣಿಗೆ ಮಾಡಲಿಕ್ಕೆ ಬಂದ ಇನ್ನೊಬ್ಬ ರಜಕುಮರ್ ಅಣ್ಣಾವ್ರು ಒಂದು ಲೈಕ್ ಮತ್ತೆ ಎಷ್ಟೊಂದು ಜನರು ಕನ್ನಡದಲ್ಲಿ ಕಾಮೆಂಟ್ ಮಾಡಿದವರಿಗೂ ಹ್ಯಾಂಡ್ಸಪ್ ಜೈ ಕರ್ನಾಟಕ ಮಾತೆ
Positive	Chikki chikki chikkappa nidde indda bega helappa pade pade kelbeku tumbha tumbha tacing padgalu adu sang agiddre innu kushipadtide I love jental man movi
Positive	Darshan Sir swalpa sahaya madidare
Negative	Huchha venkat sene innu jeevantha ide...bhaya padbeda sir
Positive	Howduu actually eee video nodakku munche Indaanu  nange ide reethi tumbaa saari hagu pade pade yeshto baari kansu beeltittu heege obbaa vyakti Shiva devastana hatra irtane naanu devastaaana dinda aache baruvaga nanna hatra idid bilpatre na keltane but duddu maatra eeskolala but hieght agirtare tanned skin tone forehead poorthi gaaya agirutte but full body ashtaag kansalli gottagallaa but ivatt eee video nodid mele mostly avre irbeku antha anstu
Mixed feelings	@chetan kumarab guru ve.... aha comment maddhavn hesru nodo....nanalla kano
Positive	Pls yestto jana nodlila film ...innome reles maadi ....naan antu bigg fan of dia
Positive	Nice comment bro!!!
not-Kannada	Super sangs super movie
not-Kannada	Bahu bhai hindusthan jai
Negative	Dia movie 2012 nalli banda andala rakshasi movie story copy edu
Positive	Jai Kirk Star
unknown state	Telugu lo super
Positive	Super pajjuu I am d Boss
not-Kannada	Tik Tok Banned Jolly Jolly  Jai Hind Jai Karnataka
Positive	China apps yallu remove madbeku sir  Nev innu strongag warning kodbeku sir
Negative	le gubad..... likes inda aden sigutto nimgella..... olle bhikshukara thara like maadi like maadi andkondu.....
Mixed feelings	KICHCHA BOSS FANS
not-Kannada	Super sir Song
unknown state	@prithvi nayak jai Roberrt
Negative	Waiting for hindi nLike .......
Positive	Ede tym ge wait madta edhvi antu intu ban age bidtu
Negative	@Dayananda C lol antarjati vivaha adre caste fear iralla. Nanu a caste e caste anta vote hakkala yalla mixed hagirtare. Sariyadavrge vote haktare.  Jailge hogibandavrge hakkala
not-Kannada	I can't see Hindi?
Positive	En super helidya bro innu eno beku
Positive	ಕಂಚಿನ ಕಂಠದಲ್ಲಿ ಮೂಡಿ ಬಂದ ತೊಗರಿತಿಪ್ಪ ಹಳೇ ನೆನಪು ತಾಜಾ ಮಾಡಿತು
Positive	Song super annuru hands up madi
Positive	D.boss fans kade doddadagi wel come madtivi sir
unknown state	Ee music director d Boss Robert movige irli enuvru like mdidri
Positive	Super  song I like it so much
Positive	Fan war bittu dhayvittu ee movie ge support madrappa nam kannada movie Hollywood level ge barli.
Positive	ನಿಜವಾದ ಸ್ಟಾರ್ ಅಂದ್ರೆ ನೀವು
not-Kannada	super duper hit
Mixed feelings	Yaav movie flop andri?
Positive	Super Anna sakathagi ugdidira
Positive	ಬಾರಿ ಐತೀ ಬಾರಿ ಅಂದ್ರ ಬಾರಿ ಬಾರಿnಅನಾಹುತ್ ಅಂದ್ರ ಅನಾಹುತ್ ಐತಿn🤠🤠🥳
Negative	Kannada.....🤦matte remake film.
Positive	ಅದ್ಬುತವಾದ ಸಂಗೀತ ...
not-Kannada	Super sir
not-Kannada	PrAveen psk jyy6
Positive	Super nakka nakka saakayatu
not-Kannada	@Ŕävîñđŕå_02_GøWđřú super bro
Positive	Nin dialog super guru chindi guru
Negative	Dislike madiroru mostly Rashmika Mandanna fans anisuthe.........
Negative	Y boss yaro sade
Negative	ಬಿಂದು ಡವ್ ಆಂಟಿ ಮತ್ತೆ ಅವರ ಸಂಗಡಿಗರ ಉರು ಬೋಸುಡಿ / ಯರು ಅಂತ ಪ್ರೂವ್ ಮಾಡ್ತಾ ಇದಾಳೆ 🤣🤣 ತಿಕ್ ಟಾಕ್ ಮಾಡ್ಲಿಲ್ಲ ಅಂದ್ರೆ evalge ಸಂಡಸ್ ಬರುತ್ತೋ ಇಲ್ವೊ ಈ ಚೀನಾಲಿ ಗೆ🤣🤣
Positive	E song ero range ge 3to.5 millone agbekittu
Positive	Awesome  estu sari kellidru innod sari kellonna anstide. Addictive music nStory looks like Rango.
Positive	Super vice kanree nimdu
Positive	tumba olle kathe
Mixed feelings	Kalaburgi and Bidar jille janaru like maadi
Positive	ತಂದೆಗೆ ತಕ್ಕ ಮಗ..
Positive	Hope this movie will rule Indian cinema... ಅವನೇ ಶ್ರೀಮಾನ್ ನಾರಾಯಣ ಇನ್ನು ಹಲವು ಭಾಗಗಳಾಗಿ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಅವತಾರಗಳನ್ನು ತಾಳುವುದರಲ್ಲಿ ಸಂಶಯವೇ ಇಲ್ಲ.
Positive	Nin  video delete agolla bidu bro ninge nav support madtivi innu e tara videos na mattastu madu chaina bucket galige tale kediskobeda
Positive	Superb trailer ....
Positive	Super jai kanadiga
Positive	Tq from karnataka kiccha sudeep fans 🥰🥰🥰🥰🥰🤙🤩🤩
Positive	ತುಂಬಾ ಹೊಸ ಹಾಗೂ ರಚನಾತ್ಮಕ ಹಾಡು.
Mixed feelings	Veerappan ennu badkavna elva edra bagge ondu video madi sir. 🤔
Positive	Super guru
Positive	2020 Blockbuster hit movie. Jai Karnataka
not-Kannada	I am from Andhra Pradesh
Positive	Super comment guru
Positive	ನಿಜವಾದ ಪ್ಯಾನ್ ಇಂಡಿಯನ್ ಚಲನಚಿತ್ರ ಈ ದಿಯಾ. ಅತ್ಯದ್ಭುತ ಚಿತ್ರ  ಗುರು
Negative	ಈ ಫಿಲ್ಮ್ ಯಾವ ಲೆವೆಲ್ಲಿಗೆ Super Hit ಆಗಬೇಕು ಅಂದ್ರೆ ರಶ್ಮಿಕಾ ಮಂದಣ್ಣ ಮುಟ್ಟಿ ನೋಡಿಕೊಳ್ಳುವ ಹಾಗೆ
Negative	@prkash g bandre ಹೇಳ್ತೀನಿ ಗುರು ನಿಂಗೆ
not-Kannada	@Ajaya shetty no no pailwan 2000 days in mars
not-Kannada	Superb bro uninstalled all Chinese apps all plzzzz
Positive	super super boss
unknown state	Kapi baddathade super
Positive	Kannada indusrty ivag ivaga improve agtaide annovru like madi..
Mixed feelings	@Nandi Parthasarathi nimmvga nimmkga ittini illi ninuge 50%off ba
Positive	ಆ ಮ್ಯೂಸಿಕ್ ಅಲ್ಲಿ ಏನೋ ಕಿಕ್ ಇದೆ
Positive	Kadu odiyuva majane bere inserted people get a answer
not-Kannada	Super sir true..
Negative	ನಮ್ಮದೇಶ ದ ಕತೆ ಇಷ್ಟೆ ಕಣೋಪ್ಪ
Positive	Abbbbaa super tik tok ban ayithu
unknown state	@Manju Iliger ..ķ   n2<90nLķìïhas qqàrt78.   'Ml07þ52
unknown state	ನನ್ನ ಮನೆಗೆ ಬಂದಿದ್ದ full party ಮಾಡಿದ್ವಿ ಇದನ್ನು update ಮಾಡಿ brother
Positive	🤠Narayana swag 🤟ಗೆ ಯಾರು ಫಿದಾ ಆದ್ರಿ like maadi
Negative	Roposo engo aramag ittu ega ivr ela roposo ge bandu roposo nu hal madta idare anna
Positive	ನನಗೇನೋ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಶಂಕರ್ನಾಗ್ ಸರ್ ತರಾನೇ ಕಾಣಿಸುತ್ತಾರೆ 🤩
Mixed feelings	Bro aa game  name  heli
unknown state	Bari ait re
not-Kannada	Salute you sir. I met once you. I am happy
not-Kannada	Sir super keep it up
Positive	Kannada padagala jodane adhbhutha
unknown state	Fans wars bittu Nam Kannada films belibeku annoru like madi..
Mixed feelings	Yar bekadru PM agakke agolla
Positive	Anna super Anna
Mixed feelings	@Nandi Parthasarathi 108ತಗೋ ಡೆಲವೇರಿ ಆಗೋ ಟೈಮ್ ಬಂದ್ರೆ ಈ no ಗೇ cl ಮಾಡು
Negative	Dislikers r fucking da baas fans
Positive	@Nandi Parthasarathi ಡಗಾರ್ ಸೂಳೆ ನಿನ್ ತುಲ್ಲಗೆ ಬಕಾರ್ಡಿ ಬಿಯರ್ ತುರ್ಕಾ
Positive	Movie Nodi Hands up....  Madi 🤗
