text	category
ಶೆಟ್ರೇ ಸಿಗ್ನೇಚರ್ ಸ್ಟೆಪ್ .....ಮ್ಯಾಜಿಕಲ್ ಕಂಪೋಸ್ ಮತ್ತೊಮ್ಮೆ ...ಅಜನೀಶ್ ಲೋಕನಾಥ್............ ಮಾಸ್ ಎಲಿಮೆಂಟಿನಾ ಈ ಹಾಡು ಬಹಳ ತುಂಬಾ ದಿನದ ಮೇಲೇ ಮತ್ತೆ ಮತ್ತೆ ಹಾಕಿ ಕೇಳಿದೆ........... ಹಾಡಿನಲ್ಲಿರುವ ಸಾಹಿತ್ಯದಂತೆ ಅವನೆ ಶ್ರೀಮನ್ನಾರಯಣ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರವಾಗಲಿ	Positive
Super music avane srimannarayana movie super it movie anoru like me	Positive
@Wild Rex कब तक हो सकती है रिलीज़	not-Kannada
Super danger #1	Mixed feelings
ನಿಜವಾಗಿಯೂ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ.. ಹ್ಯಾಟ್ಸ್ ಆಫ್ ನಾರಾಯಣ	Positive
Avane srimannarayana super songs hands up	not-Kannada
All d best from appu fans	Positive
Neev super marree...	unknown state
Kodona bro adukkenu	Mixed feelings
Kshamisi sir nanu tumba miss madkonde	Positive
Tiktok mado gaandu s.. maklu	Negative
Togari. Tippa. Super	Positive
Olle kelsa Alva mem	Positive
Nija guru ..... Aa takattu nam industry Alli yargu Ella....	Positive
@VARAPRASAD K K super bro	not-Kannada
SupernTelugu lo kuda	Positive
Rakshit shetty sir ge jai	Positive
different but unique & epic song	not-Kannada
Even I had Same feelings..!	not-Kannada
First time movie nodoru taleli uoohe screenply ittukondu nodbedi freedomagi nodi movie superagide kanndada hosatana adduriyagi kanutte guru movi superrrrrr	Positive
Super................ Song	not-Kannada
Good job..  Goahead mahn	not-Kannada
En song guruve I love this song K G F bitre ede super movie guru.......super	Positive
Nimage aa devaru olledu madali Appaji...nNimma matugalu keli nange 100% Dairya bantu appaji thank you for your inspiration	Positive
U missed birbal	not-Kannada
Hudgirge estu huchu edso song adre.   Enaa hudugara kathe henge.	Mixed feelings
ಮನೆಯಿಂದಲೇ ಸಂಪಾದಿಸಬೇಕೇ? With income proof. WhatsApp 6362806874	unknown state
Superb new avatar	not-Kannada
Nija nivu mahabaratha nodilva	Mixed feelings
GAVISH SANGATI ćqqqq1	not-Kannada
Na gentleman tiktok banu  super guru	Positive
jai sri ram	unknown state
Hi Chi ugh	unknown state
nivu helidu sari nanu follow madthini🤗	Positive
Sir.. 5paisa.com adara bagge video madi... Open madodhu hege and close madodhu hege antha... Plz sir	Positive
Entha song na dislike madtiralla loafer nan makkala thu nim janumakke	Negative
Pubg kooda ban agbeku guru..	unknown state
@Manju Sonu  ಅಭಿನಂದನೆ	unknown state
That making was osm #ASN 🤩🤩🤩	Positive
ಈ ಹಾಡು ರಶ್ಮಿಕ ಮಂಗಣ್ಣನವರಿಗೆ ಅರ್ಪಣೆ 🤗	Negative
Super guru awesome video	Positive
@Nandi Parthasarathi ಓಹೋ ನಂದಿನಿ ನಿಂದು ಮಿಲ್ಕ್ ಪಾರ್ಲರ್ ಬೇರೆ ಇದಿಯಾ	Negative
@prithvi nayak Roberrt bangada goth aagutte	Negative
One like for hands up	not-Kannada
ನೀವು ಹಳ್ಳಿಯ ‌ಭಾಷೆಯ ಶೈಲಿಯಲ್ಲಿ ರೊಷ್ಟ್ ಮಾಡುವುದೇ.. ನಮಗೆ ಅತ್ಯುತ್ತಮ ಮನರಂಜನೆ	Positive
ಏಳನೇ ದಿನ ಕೇಳ್ತಾ ಇದ್ದೇನೆ	Positive
ಅಶ್ವಥ್ಥಾಮ ಚಿರಂಜೀವಿ ಆಗಿದ್ದು ಹೇಗೆ	Mixed feelings
ತೊಗರಿ ಅಭಿವೃದ್ಧಿ ನಿಗಮದ ವ್ಯವಸ್ಥಾಪಕ ನಿರ್ದೇಶಕರಿಗೆ	Positive
Houdu ashvatama 5000 varsha dinda  idre Krista Shaka 2000 Anta yak aktaidare Hindu galu munche inda idane navu idannu pratipadisabeku I	Positive
wow...  great work..	not-Kannada
Are bhai Yek dum phel diya	not-Kannada
Step Super bossu	Positive
ನಿಮ್ಮ ಕನ್ನಡ ಬಳಕೆ ತುಂಬಾ ಸೊಗಸಾಗಿದೆ.. ಈ ಸಿನಿಮಾ ಕುರಿತು  ನೀವು ಹೇಳಿದ ಮಾತುಗಳೆಲ್ಲವು ಅಕ್ಷರಶಃ ನಿಜ. ನಿರ್ದೇಶಕರ ಸೃಜನಶೀಲತೆ ಹಾಗೂ ಕಲಾತ್ಮಕತೆ ಎರಡೂ ತರ್ಕಕ್ಕೆ ನಿಲುಕದ್ದು	Negative
Idu beku ivatthu full happy agidivi bro  osm	Positive
ನಿಜವಾಗ್ಲೂ ತುಂಬಾ ಒಳ್ಳೆ ಫಿಲ್ಮ್  ತುಂಬಾ ಇಷ್ಟ ಆಯಿತು	Positive
Soori anba song nodi bandavru  like maadi	unknown state
Sir super great	not-Kannada
ಪ್ರಯತ್ನಕ್ಕೆ ದೊಡ್ಡ ಸಲಾಂ	Positive
Super song in kannada	Positive
@Raja Vishnuvardhana Tamil of ciurse	unknown state
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ	Positive
Hands up like madi	unknown state
Idu chaitre srustiso avatara	Positive
@ಕಿಚ್ಚನ ಹಾವಳಿ astu cheepalla bido nimtara 60cr above madide pailwan kurukshetra 100cr collection madide	Negative
Okie okie anta helboduu powerful music irbekittu	Negative
Super Duper song	Positive
Movie chenagide hogi nodi	Positive
Hindi me lao	unknown state
Supper  p boss... Yar unlike madidhare nodi.. urkondu saytor anta	Negative
Tik tok ban agirodike Nange Tumba Tumba Kushi ide happy 🥰	Positive
Dabba movie Soo sad	Negative
Karabu Song Keli....bejar agii .....e song kelthaa edhini....🤗🤗🤩🤩🤩	Positive
Who like rakshit Shety hit like	unknown state
Remake  ka baap prajwal is back with remake	not-Kannada
Hindi illa Andre 300 crore agodu dream ashte	Positive
Navu matar use madatilla jagatinna yella deshgalu use madatidare.solemagane	Negative
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ	Positive
ಅಚ್ಚ ಕನ್ನಡ ಸಾಂಗ್ ಸೂಪರ್	Positive
Pritvi Amber super	Positive
@Prithvi Vishwanath guruve nav #DBoss fans kannada songs nodoku modle like madovru sumne thika yella matadbedi.	Negative
@Shrthi Shrthi huiuu	unknown state
Swalpa aerial tara ide.	unknown state
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ	Positive
ಅಧ್ಬುತ .... BGM super..	Mixed feelings
@shiva prakash avru legends. Kannada film industry Annu ee varege thegondu bandirodu avre. Avrinda ivthina actors ge easy agirodu. nIdara madyadalli kannada film industry track kalkondithu	Positive
Hindi me kb realise hogi?	not-Kannada
Tugari tippa super...	Positive
ಈ ಎಲ್ಲ ಅಂಶಗಳನ್ನು ಗಮನಿಸಿದರೆ ನಮ್ ದೇಶದಲ್ಲಿಯೂ ಸಾರ್ವಭೌಮತ್ವ ಇರಬೇಕಿತ್ತು ಅನ್ಸುತ್ತೆ.	Positive
Super song 100 days pakka	Positive
Boycott tik tok	not-Kannada
Devaru annonu idaane Andre avru shaapa kottidddu nijaane aagidre avru idde iruttaare elllooo ondu jaagadallli manushyara kannige kaanollla aste jaiii Sri Krishna	Positive
ಇದು ಒಳ್ಳೆಯ ಹಾಡು...ಒಳ್ಳೆಯ ಹಾಡುಗಳು ಕೇಳ್ತಾ ಕೇಳ್ತಾ ಇಷ್ಟ ಆಗುತ್ತವೆ...	Positive
@Nikistark x	unknown state
ಇದು ಖಂಡಿತ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೊ ಅವತಾರ!	Positive
Fan from Tollywood	not-Kannada
Kaiwarada thathayya(yogi narayanappa)	unknown state
Jai prajvalnJai d boss	Mixed feelings
@s s kirik party movie ali heroine name	Mixed feelings
Ee Tara hosa prayatna namge	Mixed feelings
@Vishal Shetty lo beedhi soole magane....nin prakarane belsbeku annodidre nim kade maado yakshagaana	Negative
Bro nim videos delete agalla bedi  bro don't worry do videos bro	Positive
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ	Positive
Lv u rrr shetty super	not-Kannada
@Nandi Parthasarathi ನೀನೇನು ಬರೋದು ತುಲ್ಲೇ ನಾನೆ ಬರ್ತೀನಿ ಬೋಳಿಮಗನೇ crct ಅಡ್ರೆಸ್ ಹೇಳೋ ಬೇಕೂಪ	Negative
Desha modlu pls ban agbeku tik tok	Positive
Bidu guru vorkolru edri moduke hogudu nLike China nodi navu bega fast hagbekantilva hage	Mixed feelings
Nim ge esta agiddare like.Comments.madi	Positive
ಮೂಢ ನಂಬಿಕೆ ಇರುವವರೆಗೂ ನಮ್ಮ ದೇಶ ಉದ್ದಾರ ಹಾಗಲ್ಲ	Negative
Super bro nan nimna support maadthini	Positive
@Creative Kannadiga ok bro	not-Kannada
ತುಂಬಾ ವರ್ಷದ ಹಿಂದೆ ಕೇಳಿದ್ದೆ.ಈಗ ಸಿಕ್ಕಿದ್ದು ಸಕತ್ ಖುಷಿ ಆಗಿದೆ	Positive
super guru yellidde guru	Positive
Super  video	Positive
ಟ್ರೈಲರ್ ತುಂಬ ಚೆನ್ನಾಗಿದೆ ನಿಮ್ಮ ಚಿತ್ರ ಒಳ್ಳೆ ಯಶಸ್ವಿ ಆಗ್ಲಿ	Positive
ಮೂವಿ ನೋಡಲು ವೇಟಿಂಗ್ ನಲ್ಲಿ ಇದ್ದೀನಿ	Positive
Ean dailag guru	Mixed feelings
Next leval movie in prajval	not-Kannada
Bhal Varshada nantra keli tumba khushiyatu..	Positive
ಒಂದೊಂದು ಮಾತು ಚಪ್ಪಲಿ  ಹೊಡೆದಂತೆ ಇತ್ತು ಗುರು ಒಬ್ಬೊಬ್ರು ನೋಡಬೇಕಿತ್ತು ಸರ್ ಚೀನಾಗೆ ಹುಟ್ಟಿರುವ ತರಹ ಆಡುತ್ತಾರೆ ನಮ್ಮ ದೇಶದಲ್ಲಿ ಎಷ್ಟು ಜನ ಸೈನಿಕರು  ಸಾಯ್ತಾರೆ ಅವರಿಗೆ ಏನಾಗಬೇಕು ಟಿಕ್ ಟಾಕ್ ಲೈಕ್ ಬಂದ್ರೆ ಸಾಕು ನನ್ನ ಕಮೆಂಟ್ ಅಲ್ಲಿ ಏನಾದರೂ ತಪ್ಪಿದ್ದರೆ ಕ್ಷಮಿಸಿ ಜೈ ಹಿಂದ್ ಜೈ ಕರ್ನಾಟಕ ಮಾತೆ	Mixed feelings
ಉತ್ತರ ಕನ್ನಡದ ಹೆಮ್ಮೆ ಯ ನಟ್ and ನಮ್ಮ ಮೆಚ್ಚಿನ	Positive
ಸುದೀಪ್ ಸರ್ ಅಂಡ್ ದರ್ಶನ್ ಸರ್ ಅವರಿಗೆ ಇರೋ ಫ್ಯಾನ್ಸ್ ಫಾಲೋಯಿಂಗ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಇಲ್ಲ ಅಂದ್ರು ಸಾಂಗ್ 2m  ಮತ್ತು ಟೀಸರ್ 8.5.m ಬೆಂಕಿ ಗುರು ಮೂವಿ  ವೇಟಿಂಗ್	Positive
ನಮ್ಮ ದೇಶದ ನಂತರ ಅವರಿಗೆ ಸ್ವತಂತ್ರ ಸಿಕ್ಕಿರುವುದು ಅವರೇಕೆ ಅಷ್ಟು ಮುಂದುವರೆದರು nnನಮ್ಮ ದೇಶ ಕಾಂಗ್ರೆಸ್ ಹಂದಿಗಳು ಯಾಕೆ ಉದ್ಧಾರ ಮಾಡಲಿಲ್ಲ	Positive
Idu Fantasy Film tara kantide alva?	Negative
Wow wow wow wow wow..Lovely guru	not-Kannada
ದಯವಿಟ್ಟು ಬಿಡುಗಡೆ ದಿನಾಂಕವನ್ನು ಹೇಳಿ	Negative
@Nandi Parthasarathi ಯಾಕೆ ಹುಡುಕೊಂಡು ಬಂದ್ರೆ ತುಲ್ಲು ಕೊಡ್ತೀಯಾ ಬೇವರ್ಸಿ	Negative
Suprb song rakhit shety karnataka boss	not-Kannada
E song first time yarig tilidila avr like madi	unknown state
Nange e dia movie est ista agide Andre adu kevala word inda helok agalla	Positive
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ	Positive
@Prasad Raj tulunad and kannada bashe meli abhimana super guru	Positive
@TROLL MONSTER_KANNADA le sakat dialouges kanla..... next nim boobs film ge neene ide dialouges na haakolli.... hengidru ade thaane yelru maathadodu.... film nodkondu yella fans galu obrann obru baikond iri....🤣	Positive
chenagide anta Pade pade nodoru swalpa husharu Data khali aguthe	Positive
ನಮ್ಮ್ ಪ್ರಜ್ವಲ್ ಬೋಸ್ ಗೇ ಒಂದ್ ಒಳ್ಳೇ ಯಶಸ್ಸು ಅನ್ನ ಕೊಡ್ಲಿ ಈ chitra	Positive
@sachin Mankar hu bro	Mixed feelings
Diya sandalwood new queen.	Positive
#Shanvi_Srivatsava  #Rakshit_Shetty best pari forever   #Rashmika_Mandanna	Positive
Super video	Positive
Ibrunu kannadadavre ibru belibeku. support maadi compare maadbedi	Positive
ಕ್ಷಮಿಸಿ.... ಒಳ್ಳೆಯತನಕ್ಕೆ ಇಲ್ಲಿ ಬೇಲೆ ಇಲ್ಲ...	Negative
I do like Guru Deshpande Movies. Im gonna rush	not-Kannada
Nani kannd full movie	Mixed feelings
@SIDDARAJU D vhhhk	unknown state
Super Jai D Boss	not-Kannada
Nama Kannada channel Dinesh ss qthjjko	Positive
NIV helthiro Hela Mathu 100% sathya Anna	Positive
Haaa nivu super bro i am big fan your voice  ....	Positive
Super video broo	not-Kannada
ಟ್ರೈಲರ್ ತುಣುಕೇನೋ ಸಕ್ಕತ್ತಾಗಿದೆ       ಒಳ್ಳೇದಾಗ್ಲಿ ಚಿತ್ರ ತಂಡಕ್ಕೆ	Positive
ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ನಮ್ಮ ಕನ್ನಡ  ಇಂಡಸ್ಟ್ರಿ ನ ಬೆಳವಣಿಗೆ ಮಾಡಲಿಕ್ಕೆ ಬಂದ ಇನ್ನೊಬ್ಬ ರಜಕುಮರ್ ಅಣ್ಣಾವ್ರು ಒಂದು ಲೈಕ್ ಮತ್ತೆ ಎಷ್ಟೊಂದು ಜನರು ಕನ್ನಡದಲ್ಲಿ ಕಾಮೆಂಟ್ ಮಾಡಿದವರಿಗೂ ಹ್ಯಾಂಡ್ಸಪ್ ಜೈ ಕರ್ನಾಟಕ ಮಾತೆ	Positive
Chikki chikki chikkappa nidde indda bega helappa pade pade kelbeku tumbha tumbha tacing padgalu adu sang agiddre innu kushipadtide I love jental man movi	Positive
Darshan Sir swalpa sahaya madidare	Positive
Huchha venkat sene innu jeevantha ide...bhaya padbeda sir	Negative
Howduu actually eee video nodakku munche Indaanu  nange ide reethi tumbaa saari hagu pade pade yeshto baari kansu beeltittu heege obbaa vyakti Shiva devastana hatra irtane naanu devastaaana dinda aache baruvaga nanna hatra idid bilpatre na keltane but duddu maatra eeskolala but hieght agirtare tanned skin tone forehead poorthi gaaya agirutte but full body ashtaag kansalli gottagallaa but ivatt eee video nodid mele mostly avre irbeku antha anstu	Positive
@chetan kumarab guru ve.... aha comment maddhavn hesru nodo....nanalla kano	Mixed feelings
Pls yestto jana nodlila film ...innome reles maadi ....naan antu bigg fan of dia	Positive
Nice comment bro!!!	Positive
Super sangs super movie	not-Kannada
Bahu bhai hindusthan jai	not-Kannada
Dia movie 2012 nalli banda andala rakshasi movie story copy edu	Negative
Jai Kirk Star	Positive
Telugu lo super	unknown state
Super pajjuu I am d Boss	Positive
Tik Tok Banned Jolly Jolly  Jai Hind Jai Karnataka	not-Kannada
China apps yallu remove madbeku sir  Nev innu strongag warning kodbeku sir	Positive
le gubad..... likes inda aden sigutto nimgella..... olle bhikshukara thara like maadi like maadi andkondu.....	Negative
KICHCHA BOSS FANS	Mixed feelings
Super sir Song	not-Kannada
@prithvi nayak jai Roberrt	unknown state
Waiting for hindi nLike .......	Negative
Ede tym ge wait madta edhvi antu intu ban age bidtu	Positive
@Dayananda C lol antarjati vivaha adre caste fear iralla. Nanu a caste e caste anta vote hakkala yalla mixed hagirtare. Sariyadavrge vote haktare.  Jailge hogibandavrge hakkala	Negative
I can't see Hindi?	not-Kannada
En super helidya bro innu eno beku	Positive
ಕಂಚಿನ ಕಂಠದಲ್ಲಿ ಮೂಡಿ ಬಂದ ತೊಗರಿತಿಪ್ಪ ಹಳೇ ನೆನಪು ತಾಜಾ ಮಾಡಿತು	Positive
Song super annuru hands up madi	Positive
D.boss fans kade doddadagi wel come madtivi sir	Positive
Ee music director d Boss Robert movige irli enuvru like mdidri	unknown state
Super  song I like it so much	Positive
Fan war bittu dhayvittu ee movie ge support madrappa nam kannada movie Hollywood level ge barli.	Positive
ನಿಜವಾದ ಸ್ಟಾರ್ ಅಂದ್ರೆ ನೀವು	Positive
super duper hit	not-Kannada
Yaav movie flop andri?	Mixed feelings
Super Anna sakathagi ugdidira	Positive
ಬಾರಿ ಐತೀ ಬಾರಿ ಅಂದ್ರ ಬಾರಿ ಬಾರಿnಅನಾಹುತ್ ಅಂದ್ರ ಅನಾಹುತ್ ಐತಿn🤠🤠🥳	Positive
Kannada.....🤦matte remake film.	Negative
ಅದ್ಬುತವಾದ ಸಂಗೀತ ...	Positive
Super sir	not-Kannada
PrAveen psk jyy6	not-Kannada
Super nakka nakka saakayatu	Positive
@Ŕävîñđŕå_02_GøWđřú super bro	not-Kannada
Nin dialog super guru chindi guru	Positive
Dislike madiroru mostly Rashmika Mandanna fans anisuthe.........	Negative
Y boss yaro sade	Negative
ಬಿಂದು ಡವ್ ಆಂಟಿ ಮತ್ತೆ ಅವರ ಸಂಗಡಿಗರ ಉರು ಬೋಸುಡಿ / ಯರು ಅಂತ ಪ್ರೂವ್ ಮಾಡ್ತಾ ಇದಾಳೆ 🤣🤣 ತಿಕ್ ಟಾಕ್ ಮಾಡ್ಲಿಲ್ಲ ಅಂದ್ರೆ evalge ಸಂಡಸ್ ಬರುತ್ತೋ ಇಲ್ವೊ ಈ ಚೀನಾಲಿ ಗೆ🤣🤣	Negative
E song ero range ge 3to.5 millone agbekittu	Positive
Awesome  estu sari kellidru innod sari kellonna anstide. Addictive music nStory looks like Rango.	Positive
Super vice kanree nimdu	Positive
tumba olle kathe	Positive
Kalaburgi and Bidar jille janaru like maadi	Mixed feelings
ತಂದೆಗೆ ತಕ್ಕ ಮಗ..	Positive
Hope this movie will rule Indian cinema... ಅವನೇ ಶ್ರೀಮಾನ್ ನಾರಾಯಣ ಇನ್ನು ಹಲವು ಭಾಗಗಳಾಗಿ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಅವತಾರಗಳನ್ನು ತಾಳುವುದರಲ್ಲಿ ಸಂಶಯವೇ ಇಲ್ಲ.	Positive
Nin  video delete agolla bidu bro ninge nav support madtivi innu e tara videos na mattastu madu chaina bucket galige tale kediskobeda	Positive
Superb trailer ....	Positive
Super jai kanadiga	Positive
Tq from karnataka kiccha sudeep fans 🥰🥰🥰🥰🥰🤙🤩🤩	Positive
ತುಂಬಾ ಹೊಸ ಹಾಗೂ ರಚನಾತ್ಮಕ ಹಾಡು.	Positive
Veerappan ennu badkavna elva edra bagge ondu video madi sir. 🤔	Mixed feelings
Super guru	Positive
2020 Blockbuster hit movie. Jai Karnataka	Positive
I am from Andhra Pradesh	not-Kannada
Super comment guru	Positive
ನಿಜವಾದ ಪ್ಯಾನ್ ಇಂಡಿಯನ್ ಚಲನಚಿತ್ರ ಈ ದಿಯಾ. ಅತ್ಯದ್ಭುತ ಚಿತ್ರ  ಗುರು	Positive
ಈ ಫಿಲ್ಮ್ ಯಾವ ಲೆವೆಲ್ಲಿಗೆ Super Hit ಆಗಬೇಕು ಅಂದ್ರೆ ರಶ್ಮಿಕಾ ಮಂದಣ್ಣ ಮುಟ್ಟಿ ನೋಡಿಕೊಳ್ಳುವ ಹಾಗೆ	Negative
@prkash g bandre ಹೇಳ್ತೀನಿ ಗುರು ನಿಂಗೆ	Negative
@Ajaya shetty no no pailwan 2000 days in mars	not-Kannada
Superb bro uninstalled all Chinese apps all plzzzz	not-Kannada
super super boss	Positive
Kapi baddathade super	unknown state
Kannada indusrty ivag ivaga improve agtaide annovru like madi..	Positive
@Nandi Parthasarathi nimmvga nimmkga ittini illi ninuge 50%off ba	Mixed feelings
ಆ ಮ್ಯೂಸಿಕ್ ಅಲ್ಲಿ ಏನೋ ಕಿಕ್ ಇದೆ	Positive
Kadu odiyuva majane bere inserted people get a answer	Positive
Super sir true..	not-Kannada
ನಮ್ಮದೇಶ ದ ಕತೆ ಇಷ್ಟೆ ಕಣೋಪ್ಪ	Negative
Abbbbaa super tik tok ban ayithu	Positive
@Manju Iliger ..ķ   n2<90nLķìïhas qqàrt78.   'Ml07þ52	unknown state
ನನ್ನ ಮನೆಗೆ ಬಂದಿದ್ದ full party ಮಾಡಿದ್ವಿ ಇದನ್ನು update ಮಾಡಿ brother	unknown state
