category	text
Non-anti-LGBT+ content	Thirunangaikku. Job iruntha avanga yean picha edukka poranga and matter ku poga poranga friends.... Namma society Thirunangai ya use panna mattum than pakkuthu, support pannala. Avangalum nammala mathri human being than.... Oru silla unmaiya na Thirunangai um irukkan ga.... Intha video la avanga yean thitturanga... Antha video la irunthu podama... Avanga thitturathu mattum podurarhu nalla thu illa....
Non-anti-LGBT+ content	(1) adultery (marriage aana apram mathavanga kooda relationship) support panni avanga edhum sollave illaye (2) age of consent innum maarala avanga pesnadhu ellame adults ku idaila dhan (3) animals pesura baashai namakku puriyadhu ji so animals mela namma affection vaikalam adhu namma mela affection vaikalam but animals ku sex ku consent solra alavuku arivilla, unlike humans. Edit: Porakkuradhu edho reproduce panradhukku dhan nu solreenga! But have u looked at the recent population status? Pirandhadhu manidha inathirku / ulagathuku edhachum useful ah irukkuradhuku not fr multiplication!
Non-anti-LGBT+ content	Jai nanbaa super nanbaa
Non-anti-LGBT+ content	Ithu Original prank aaa..
Non-anti-LGBT+ content	Vera leval ya
Non-anti-LGBT+ content	super love you so much💗💗
Non-anti-LGBT+ content	Ivangale paathaa mathippaa irukk naan paarthathilaye romba azhagaana person manass ivanga thaa nnu manasaara solgiren
Non-anti-LGBT+ content	Bro vera Laval 👍👍👍
Non-anti-LGBT+ content	Dis like pottavala Otha manasa janmam daww 😡😡😡
Non-anti-LGBT+ content	Nee madu rathna unakku thariyumla
Non-anti-LGBT+ content	Moodra thyoli serupu pinchrum
Non-anti-LGBT+ content	Thirunagai vetchu eni mel prank venda namala mathiri avaga life ila pathu nadathukoga
Non-anti-LGBT+ content	i don't like ur speech
Non-anti-LGBT+ content	Aei.  Loosu..un ishtathuku pesathay
Non-anti-LGBT+ content	Ivanga entha movila ullavanga
Non-anti-LGBT+ content	Ayyo appaa alugaye varudhu 😕
Non-anti-LGBT+ content	Bro na ipo gugai la dhan irukken neenga enga irukinga
Non-anti-LGBT+ content	Super movie really my heart melting this movie but society Ku ithu epdi erukum nu therla avanga avangaloda culture and gowravam dha mukiyamo thavira manishangaluku oru malum mathipu kuduthathila sir manishana manishangala patha dhana mansula neriya kupaya vachita kanda nai la kevalama pesuranga avangalum sariya vaza matanga aduthuvangaliyum vaza Vida matanga ena oru mangeta sosity cast kadhi matham inam mozhi ithu elathiyum kadanthathu dhan kathal love yar mela venumnalum varlam that's nature pleas mathavangla unga commands la kaya paduthathinga love is not boundry
Non-anti-LGBT+ content	Fun panu ana romba pannatha..adutha video pakanuna koinjam neeta panu..
Non-anti-LGBT+ content	Super  akka 😍😍😍
Non-anti-LGBT+ content	Part 2 nu subscribe a alayavidathinga da sikram podunga da
Non-anti-LGBT+ content	@NATPU SIRAI.  🙏
Non-anti-LGBT+ content	Super Anna 👌
Non-anti-LGBT+ content	Entha oorula nee busla unkita amt pudungunanga tirupur la apdi ellm kitaiyathu
Non-anti-LGBT+ content	Neega Panna prank la idhu tha  super Vera level bro
Non-anti-LGBT+ content	Jailla putichi potuga sir
Homophobic	Unna solli thappu ilama ipdi oru padaipa ulagathuku kodutharu pathiya avara solanum...pls god innum evlo kevalam intha ulagathla nadakanum plsssss destroy this world
Non-anti-LGBT+ content	Ipo ena padikera
Non-anti-LGBT+ content	Elaru kitayumada prank panringa
Non-anti-LGBT+ content	Entha padathula nadichanga
Non-anti-LGBT+ content	Hi அக்கா I like your voice 👍
Homophobic	Emma ne sapadula samparuku bathila saniya oothi sapduviya
Non-anti-LGBT+ content	Yes enna solradhu 🤦🏻
Non-anti-LGBT+ content	Envaga va vara level amma
Non-anti-LGBT+ content	Uanmailaiye naan partha prank video la rompa rompa best video semma semma
Non-anti-LGBT+ content	M A D A N FAN AH IRUPANGALOOO.....
Non-anti-LGBT+ content	Dude unga n.o thara kedaikuma
Non-anti-LGBT+ content	8925745362 call Chennai
Non-anti-LGBT+ content	Appo adikadi poringkapola
Non-anti-LGBT+ content	Plzzz don't say dii 🙏 respect must
Homophobic	3:10 ladyku pathil sollunga parpom...thavarana seyaluku muttu kodukka ninaipatu thavaru...
